,display,address,x,y
198,선릉성종왕릉,서울특별시 강남구 삼성동 133,127.0454398,37.5087685
199,소울음아트센터,경기도 안양시 만안구 안양동 452-3,126.9240183,37.3913106
200,쌍암공원,광주광역시 광산구 쌍암동,126.8443370,35.2235430
201,4.19학생혁명기념탑,서울특별시 강북구 수유동 산9-1,127.0068985,37.6485404
202,인천대공원,인천광역시 남동구 장수동 산164,126.7609822,37.4573965
203,일산시장,경기도 고양시 일산서구 일산동 617-20,126.7705982,37.6852384
204,국립중앙박물관,서울특별시 용산구 용산동6가 168-6,126.9803880,37.5240867
205,암사종합시장,서울특별시 강동구 암사동 501-17,127.1291041,37.5512009
206,만해기념관,경기도 광주시 남한산성면 산성리 912-1,127.1808505,37.4773182
207,대천공원,부산광역시 해운대구 좌동 1390,129.1677800,35.1811171
208,중부시장,서울특별시 중구 오장동 139-11,127.0007568,37.5652940
209,서오릉명릉(인현왕후),경기도 고양시 덕양구 용두동 산30-1,126.9007165,37.6248960
210,정릉,서울특별시 성북구 정릉동 508,127.0066769,37.6012266
211,부천옹기박물관,경기도 부천시 여월동 318,126.8017859,37.5138411
212,부천아트벙커B39,경기도 부천시 삼정동 363-4,126.7673818,37.5214921
213,한전아트센터 갤러리,서울특별시 서초구 서초동 1355,127.0279546,37.4858412
214,충의사,충청남도 예산군 덕산면 시량리 119-1,126.6527823,36.6883935
215,백남준아트센터,경기도 용인시 기흥구 상갈동 85,127.1104387,37.2690977
216,경희궁,서울특별시 종로구 신문로2가 2-1,126.9685341,37.5707730
217,포마자동차디자인미술관,경기도 고양시 덕양구 향동동 239,126.8964642,37.5918186
218,안심근린공원,대구광역시 동구 신기동,128.7025875,35.8694487
219,양산호수공원,광주광역시 북구 양산동 288-3,126.8724082,35.2029660
220,오산시시립미술관,경기도 오산시 은계동 7-7,127.0770813,37.1602217
221,삼성현역사문화공원,경상북도 경산시 남산면 인흥리 247-1,128.7972306,35.8011892
222,필리핀군참전기념비,경기도 고양시 덕양구 관산동 산97-3,126.8729249,37.6883678
223,서교동최규하대통령가옥,서울특별시 마포구 서교동,126.9149516,37.5552807
224,구리아트홀,경기도 구리시 교문동 390,127.1298836,37.5956526
225,길음시장,경기도 안산시 단원구 중앙동 531-3,126.8328163,37.3173514
226,부수지근린공원,인천광역시 연수구 동춘동,126.6780676,37.4079760
227,경복궁,서울특별시 종로구 세종로 1-91,126.9770162,37.5788407
228,세흥시장,부산광역시 수영구 남천동,129.1123359,35.1494328
229,오산시 유엔군 초전기념관,경기도 오산시 외삼미동 600-1,127.0492189,37.1845239
230,마장축산물시장,서울특별시 성동구 마장동 500,127.0384317,37.5697629
231,웃음누리공원,부산광역시 해운대구 좌동,129.1673250,35.1686012
232,수유재래시장,서울특별시 강북구 수유동 55-7,127.0231653,37.6314446
233,동묘,충청남도 홍성군 갈산면 가곡리,126.5807644,36.6257112
234,APEC나루공원,부산광역시 해운대구 우동 1494,129.1246280,35.1715029
235,유엔군 초전기념비,경기도 오산시 내삼미동 산70-7,127.0497134,37.1840181
236,JW 메리어트 동대문 스퀘어 서울,서울특별시 종로구 종로6가 289-3,127.0087841,37.5703168
237,상무조각공원,광주광역시 서구 치평동 1163-2,126.8404250,35.1557900
238,부평 신트리공원,인천광역시 부평구 부평동 891,126.7264861,37.5064243
239,가락농수산물종합도매시장,서울특별시 송파구 가락동 600,127.1107530,37.4932279
240,인왕시장,서울특별시 서대문구 홍제동 298-1,126.9437008,37.5908551
241,시흥 오이도 선사유적공원,경기도 시흥시 정왕동 924-13,126.6961856,37.3430687
242,고양아람누리 아람미술관,경기도 고양시 일산동구 마두동 817,126.7733951,37.6608806
243,부천중동시장,경기도 부천시 중동 734-13,126.7644009,37.4945447
244,동구릉휘릉,경기도 구리시 인창동 산5-2,127.1288056,37.6228288
245,장터꽃화원,경상북도 김천시 황금동 20-6,128.1246880,36.1174494
246,삼봉기념관,경기도 평택시 진위면 은산리 184-1,127.1230375,37.0798000
247,펄벅기념관,경기도 부천시 심곡본동 566-9,126.7816012,37.4754732
248,부산전자종합시장,부산광역시 부산진구 부전동,129.0624477,35.1637364
249,종묘,서울특별시 종로구 훈정동 1-2,126.9939555,37.5758018
250,화성남양리신빈김씨묘역,경기도 화성시 남양읍 남양리 산131-7,126.8319615,37.1972327
251,프라움악기박물관,경기도 남양주시 와부읍 도곡리 504-41,127.2273960,37.5683619
252,행주대첩 기념관,경기도 고양시 덕양구 행주내동 산12-1,126.8251520,37.6000554
253,인천아트플랫폼,인천광역시 중구 해안동1가 1-5,126.6196807,37.4732477
